Epoch,Error Vs Epoch (Binary Representation)
0,0.9772754165611173
1,1.0455207163899392
2,1.0456081764247132
3,1.0454710562175893
4,1.0453476865884408
5,1.0452354937235648
6,1.0451321075124897
7,1.0450356709274737
8,1.0449447284215134
9,1.0448581388050713
10,1.0447750070417026
11,1.0446946308582539
12,1.0446164589562574
13,1.0445400583050388
14,1.044465088542525
15,1.0443912819379273
16,1.0443184277062625
17,1.044246359727807
18,1.044174946931613
19,1.0441040857635215
20,1.044033694285302
21,1.0439637075503052
22,1.0438940739782332
23,1.0438247525120496
24,1.0437557103872934
25,1.0436869213809987
26,1.043618364436326
27,1.0435500225816046
28,1.043481882080147
29,1.0434139317610462
30,1.043346162491939
31,1.0432785667632183
32,1.0432111383597606
33,1.0431438721014352
34,1.043076763637698
35,1.0430098092847588
36,1.042943005896274
37,1.0428763507604903
38,1.0428098415182516
39,1.0427434760975072
40,1.0426772526608736
41,1.0426111695635432
42,1.042545225319411
43,1.0424794185737278
44,1.0424137480809703
45,1.0423482126868568
46,1.0422828113137013
47,1.042217542948432
48,1.042152406632759
49,1.0420874014550763
50,1.0420225265437688
51,1.0419577810616518
52,1.0418931642013445
53,1.0418286751813977
54,1.0417643132430445
55,1.0417000776474628
56,1.0416359676734592
57,1.0415719826155059
58,1.0415081217820672
59,1.041444384494171
60,1.041380770084184
61,1.0413172778947595
62,1.0412539072779294
63,1.0411906575943206
64,1.041127528212475
65,1.0410645185082592
66,1.041001627864349
67,1.0409388556697814
68,1.0408762013195614
69,1.0408136642143175
70,1.0407512437599984
71,1.0406889393676069
72,1.0406267504529652
73,1.0405646764365049
74,1.0405027167430858
75,1.0404408708018287
76,1.0403791380459717
77,1.0403175179127406
78,1.040256009843231
79,1.0401946132823054
80,1.040133327678498
81,1.0400721524839323
82,1.0400110871542427
83,1.0399501311485069
84,1.0398892839291811
85,1.039828544962045
86,1.039767913716147
87,1.0397073896637572
88,1.0396469722803223
89,1.0395866610444238
90,1.0395264554377412
91,1.0394663549450154
92,1.0394063590540146
93,1.0393464672555048
94,1.0392866790432183
95,1.039226993913828
96,1.039167411366917
97,1.039107930904958
98,1.0390485520332866
99,1.0389892742600773
100,1.0389300970963236
101,1.0388710200558147
102,1.0388120426551153
103,1.0387531644135466
104,1.0386943848531647
105,1.0386357034987432
106,1.0385771198777534
107,1.038518633520348
108,1.0384602439593416
109,1.0384019507301936
110,1.038343753370993
111,1.0382856514224388
112,1.0382276444278256
113,1.0381697319330265
114,1.0381119134864787
115,1.0380541886391632
116,1.0379965569445948
117,1.0379390179588042
118,1.0378815712403227
119,1.0378242163501665
120,1.0377669528518234
121,1.037709780311237
122,1.0376526982967929
123,1.0375957063793035
124,1.0375388041319933
125,1.0374819911304862
126,1.037425266952791
127,1.0373686311792856
128,1.0373120833927056
129,1.0372556231781294
130,1.0371992501229643
131,1.037142963816934
132,1.0370867638520644
133,1.0370306498226696
134,1.0369746213253412
135,1.0369186779589321
136,1.0368628193245453
137,1.0368070450255207
138,1.0367513546674219
139,1.0366957478580234
140,1.0366402242072992
141,1.0365847833274076
142,1.0365294248326813
143,1.0364741483396138
144,1.0364189534668469
145,1.0363638398351593
146,1.036308807067453
147,1.0362538547887432
148,1.0361989826261446
149,1.03614419020886
150,1.036089477168169
151,1.0360348431374151
152,1.0359802877519952
153,1.0359258106493474
154,1.0358714114689391
155,1.0358170898522567
156,1.0357628454427925
157,1.0357086778860352
158,1.0356545868294569
159,1.0356005719225034
160,1.0355466328165825
161,1.0354927691650526
162,1.0354389806232125
163,1.0353852668482895
164,1.0353316274994295
165,1.035278062237687
166,1.035224570726011
167,1.0351711526292386
168,1.035117807614082
169,1.0350645353491181
170,1.0350113355047794
171,1.0349582077533421
172,1.0349051517689163
173,1.0348521672274371
174,1.034799253806652
175,1.0347464111861129
176,1.0346936390471644
177,1.0346409370729361
178,1.0345883049483298
179,1.0345357423600117
180,1.0344832489964022
181,1.0344308245476657
182,1.0343784687057007
183,1.0343261811641318
184,1.0342739616182983
185,1.0342218097652451
186,1.034169725303715
187,1.0341177079341357
188,1.0340657573586143
189,1.034013873280926
190,1.0339620554065052
191,1.0339103034424364
192,1.033858617097445
193,1.0338069960818888
194,1.0337554401077478
195,1.0337039488886166
196,1.0336525221396944
197,1.033601159577778
198,1.0335498609212501
199,1.0334986258900731
200,1.033447454205779
201,1.0333963455914614
202,1.0333452997717671
203,1.0332943164728874
204,1.0332433954225486
205,1.0331925363500052
206,1.0331417389860302
207,1.0330910030629081
208,1.0330403283144254
209,1.032989714475863
210,1.032939161283987
211,1.0328886684770433
212,1.0328382357947454
213,1.0327878629782699
214,1.0327375497702471
215,1.0326872959147524
216,1.0326371011572997
217,1.0325869652448336
218,1.0325368879257193
219,1.032486868949737
220,1.0324369080680746
221,1.032387005033319
222,1.032337159599446
223,1.032287371521818
224,1.032237640557173
225,1.032187966463617
226,1.0321383490006175
227,1.0320887879289964
228,1.0320392830109215
229,1.0319898340098992
230,1.0319404406907693
231,1.031891102819694
232,1.0318418201641548
233,1.0317925924929416
234,1.0317434195761486
235,1.031694301185165
236,1.0316452370926688
237,1.0315962270726202
238,1.0315472709002538
239,1.0314983683520724
240,1.0314495192058393
241,1.0314007232405717
242,1.031351980236534
243,1.031303289975232
244,1.031254652239403
245,1.0312060668130132
246,1.031157533481248
247,1.031109052030506
248,1.0310606222483933
249,1.0310122439237164
250,1.0309639168464744
251,1.0309156408078548
252,1.030867415600225
253,1.030819241017128
254,1.0307711168532725
255,1.0307230429045304
256,1.030675018967928
257,1.0306270448416408
258,1.0305791203249859
259,1.0305312452184177
260,1.0304834193235197
261,1.0304356424430003
262,1.0303879143806844
263,1.0303402349415096
264,1.0302926039315174
265,1.0302450211578507
266,1.0301974864287435
267,1.030149999553519
268,1.0301025603425806
269,1.0300551686074084
270,1.0300078241605504
271,1.0299605268156196
272,1.0299132763872847
273,1.0298660726912698
274,1.0298189155443418
275,1.0297718047643099
276,1.0297247401700171
277,1.0296777215813355
278,1.0296307488191607
279,1.0295838217054056
280,1.0295369400629952
281,1.0294901037158604
282,1.0294433124889335
283,1.029396566208142
284,1.0293498647004027
285,1.0293032077936164
286,1.029256595316663
287,1.029210027099396
288,1.029163502972637
289,1.029117022768168
290,1.0290705863187308
291,1.0290241934580178
292,1.028977844020667
293,1.0289315378422597
294,1.028885274759311
295,1.0288390546092674
296,1.0287928772305015
297,1.0287467424623051
298,1.0287006501448852
299,1.0286546001193602
300,1.028608592227751
301,1.0285626263129801
302,1.0285167022188635
303,1.028470819790107
304,1.0284249788723012
305,1.0283791793119161
306,1.0283334209562969
307,1.0282877036536562
308,1.028242027253074
309,1.0281963916044878
310,1.0281507965586916
311,1.028105241967328
312,1.0280597276828856
313,1.0280142535586927
314,1.027968819448913
315,1.0279234252085414
316,1.0278780706933974
317,1.0278327557601235
318,1.027787480266177
319,1.0277422440698265
320,1.02769704703015
321,1.027651889007025
322,1.0276067698611286
323,1.0275616894539292
324,1.0275166476476851
325,1.0274716443054372
326,1.0274266792910067
327,1.0273817524689888
328,1.0273368637047486
329,1.0272920128644174
330,1.027247199814887
331,1.027202424423806
332,1.0271576865595753
333,1.0271129860913433
334,1.0270683228890019
335,1.0270236968231812
336,1.0269791077652464
337,1.0269345555872922
338,1.0268900401621395
339,1.0268455613633307
340,1.026801119065124
341,1.026756713142492
342,1.0267123434711147
343,1.0266680099273764
344,1.0266237123883606
345,1.026579450731848
346,1.0265352248363098
347,1.0264910345809033
348,1.0264468798454711
349,1.0264027605105326
350,1.026358676457283
351,1.0263146275675874
352,1.0262706137239772
353,1.026226634809647
354,1.0261826907084477
